,名词,动词,其它
2596,画室,0,0
2597,0,借给,0
2599,宴会,0,0
2600,大肚子,0,0
2601,诗句,0,0
2604,台词,0,0
2608,背脊,0,0
2609,化妆室,0,0
2614,稿件,0,0
2617,0,烘托,0
2624,婚礼,0,0
2625,韧带,0,0
2626,0,建造,0
2629,窠巢,0,0
2630,蜂巢,0,0
2637,圣坛,0,0
2642,0,描述,0
2643,0,拼写,0
2644,路途,0,0
2645,笼子,0,0
2646,石灰石,搁,0
2647,算术,0,0
2648,景色,0,0
2649,单词,0,0
2651,背包,抬进,0
2652,泥土,0,0
2653,阵地,0,0
2655,桥,0,0
2665,0,沏,0
2667,枝条,0,0
2670,0,填进,0
2671,工厂,0,0
2672,土,0,0
2675,弧线,0,0
2677,0,挂,0
2679,钢盔,0,0
2682,字句,0,0
2684,海面,0,0
2686,油,0,0
2687,河,0,0
2691,0,踏断,0
2693,菜色,0,0
2703,0,弄翻,0
2706,0,整修,0
2708,指甲剪,0,0
2711,0,连接,0
2714,符号,0,0
2715,新娘,0,0
2717,0,加,0
2718,烤箱,0,0
2720,肉桂,0,0
2727,金子,0,0
2736,鞋尖,0,0
2739,火炉,0,0
2740,0,挖苦,0
2745,沥青,0,0
2749,0,支撑,0
2750,晚会,0,0
2755,0,改成,0
2756,口哨,遮蔽,0
2761,0,搭救,0
2762,0,敲打,0
2767,坐垫,0,0
2784,衣袖,0,0
2788,0,视作,0
2789,手铐,0,0
2790,花儿,0,0
2792,血,调低,0
2793,家庭,0,0
2800,计划,0,0
2801,0,撩起,0
2806,住房,0,0
2807,情绪,0,0
2812,桌面,0,0
2815,泥浆,0,0
2816,伤员,0,0
2817,烛光,0,0
2826,产妇,0,0
2829,火势,0,0
2831,宠物,0,0
2832,耳坠,0,0
2833,裤袋,0,0
2834,0,镶得,0
2836,0,迎进,0
2838,0,包扎,0
2841,戒指,0,0
2844,暖气,0,0
2845,0,看得,0
2847,积雪,0,0
2848,总统,0,0
2849,富人,浇,0
2851,0,敞得,0
2855,准尉,0,0
2856,敌机,0,0
2866,0,通,0
2868,炉条,摘得,0
2869,花,0,0
2870,文具,0,0
2872,犁,0,0
2874,黑色,0,0
2876,铜钱,0,0
2884,餐厅,实在,0
2902,0,主持,0
2905,字条,0,0
2907,0,加宽,0
2918,走廊,0,0
2920,0,啄,0
2925,哨子,0,0
2926,0,调到,0
2927,0,摊,0
2929,0,安置,0
2931,墙,0,0
2939,车门,吵醒,0
2944,标尺,拥抱,0
2946,人人,0,0
2949,礼拜堂,劫夺,0
2950,大,0,0
2951,神殿,看护,0
2955,茅房,0,0
2956,娃娃,0,0
2957,一家子,0,0
2959,0,打开,0
2961,相框,0,0
2963,皮带,0,0
2965,咖啡,伤,0
2974,脸藏,0,0
2977,棕榈树,宣扬,0
2981,0,贬得,0
2985,感情,0,0
2990,茶匙,0,0
3003,0,包装,0
3004,0,遛,0
3007,音节,0,0
3009,背,0,0
3010,公牛,0,0
3011,人世,蹭,0
3012,全家,0,0
3013,0,捋,0
3030,0,隔,0
3031,街垒,0,0
3032,羊皮纸,0,0
3034,脚印,0,0
3036,公鸡,0,0
3039,0,脱掉,0
3041,侍者,0,0
3042,游戏,0,0
3048,小号,0,0
3052,0,应用,0
3054,门钮,0,0
3061,辅音,0,0
3063,家私,吓坏,0
3066,衣裾,0,0
3067,约会,0,0
3068,0,批驳,0
3075,祖国,0,0
3089,艺术家,0,0
3091,思想,0,0
3098,前人,0,0
3099,尺度,0,0
3100,风向,0,0
3101,0,吮,0
3103,旅人,0,0
3104,骑术,0,0
3105,0,筑,0
3106,钢笔,0,0
3107,烟,0,0
3109,乳房,0,0
3113,青铜,0,0
3120,百叶窗,0,0
3121,窑炉,0,0
3122,警方,0,0
3137,绷带,0,0
3140,茶杯,0,0
3141,面具,0,0
3151,城楼,0,0
3152,帽盔,0,0
3154,凡人,0,0
3156,智者,0,0
3160,美酒,0,0
3166,公爵,轰,0
3168,0,分辨,0
3175,0,发,0
3176,0,掩盖,0
3178,号令,0,0
3179,罪恶,0,0
3181,0,揩,0
3186,前额,0,0
3190,检察长,0,0
3195,0,伸到,0
3198,0,观察,0
3211,后脑勺,0,0
3213,斧头,0,0
3215,土堆,0,0
3217,货款,0,0
3219,0,砌,0
3220,屋顶,0,0
3223,0,推脱,0
3225,树林,0,0
3230,电报,0,0
3231,0,迈步,0
3234,0,揭穿,0
3235,0,制造,0
3236,0,停下来,0
3238,门环,0,0
3239,力气,0,0
3241,秘密,处治,0
3245,0,修改,0
3246,0,修葺,0
3250,0,算计,0
3251,词句,0,0
3255,孝服,0,0
3256,0,抚,0
3260,0,抛弃,0
3264,0,召,0
3265,幻想,0,0
3269,管家,变成,0
3270,河道,0,0
3274,心灵,0,0
3275,疾病,0,0
3278,外套,0,0
3279,神父,0,0
3281,难题,0,0
3282,话头,0,0
3285,亲儿,0,0
3289,袍子,0,0
3297,教士,0,0
3302,语言,0,0
3304,环境,0,0
3306,酒家,0,0
3310,0,倚靠,0
3311,钞票,搬,0
3318,工作室,0,0
3322,广告,0,0
3323,事业,0,0
3327,证券,0,0
3332,轿车,赶出去,0
3334,密码,0,0
3337,0,送进,0
3339,0,修剪,0
3342,听筒,0,0
3343,指甲,0,0
3344,电话机,0,0
3350,斜坡,0,0
3356,队列,0,0
3359,桨,0,0
3361,天赋,吮吸,0
3376,0,变得,0
3380,睫毛,0,0
3381,眼神,0,0
3387,名声,0,0
3388,小艇,0,0
3389,甲板,0,0
3392,帆,0,0
3398,棉絮,0,0
3400,0,浓缩,0
3405,银币,0,0
3408,菜刀,0,0
3411,0,叫做,0
3417,0,煞住,0
3422,早餐,0,0
3424,裂缝,0,0
3425,钟,0,0
3426,踏板,0,0
3432,煤筐,展开,0
3441,店铺,0,0
3444,0,说明,0
3450,0,扰乱,0
3451,0,挥霍,0
3456,学问,0,0
3457,骑兵,0,0
3458,全军,0,0
3459,财物,报道,0
3477,血样,0,0
3482,0,陷得,0
3485,局,0,0
3486,局面,0,0
3487,药剂师,0,0
3490,细节,0,0
3493,飞机,吵,0
3507,炸弹,0,0
3508,停车场,0,0
3509,会议,0,0
3511,水库,0,0
3512,印刷机,0,0
3523,加速器,0,0
